Employee ID,Application,Entitlement Name,Entitlement ID,Access Level
X954781,KYC System,KYC-ClientDueDiligence,KYC001,Read
X954781,KYC System,KYC-RiskRating,KYC002,Write
X954781,Compliance Platform,CMP-EURegulatory,CMP011,Read
X954781,Compliance Platform,CMP-GDPR,CMP012,Read
H151148,Active Directory,AD-Login,AD001,Read
H151148,Active Directory,AD-Email,AD002,Read
H151148,Active Directory,AD-Intranet,AD003,Read
H151148,HR Portal,HRP-SelfService,HRP001,Read
H151148,HR Portal,HRP-TimeEntry,HRP002,Write
H151148,Compliance Training,CT-AnnualCert,CT001,Execute
H151148,Wealth Platform,WP-ClientPortfolio,WP001,Read
H151148,Wealth Platform,WP-InvestAdvice,WP002,Write
H151148,Wealth Platform,WP-OrderExec,WP003,Execute
H151148,Wealth Platform,WP-FinancialPlan,WP004,Write
H151148,Trust System,TS-TrustAdmin,TS001,Read
H151148,Trust System,TS-Fiduciary,TS003,Execute
H151148,CRM Platform,CRM-HNWClient,CRM020,Read
H151148,CRM Platform,CRM-UHNWClient,CRM021,Read
H151148,CRM Platform,CRM-Referrals,CRM022,Write
H151148,KYC System,KYC-WealthDueDiligence,KYC010,Read
H151148,KYC System,KYC-SourceOfWealth,KYC011,Write
H151148,HR Portal,HRP-TeamView,HRP010,Read
H151148,HR Portal,HRP-Approval,HRP011,Approve
H151148,Compliance Platform,CMP-USRegulatory,CMP010,Read
M910397,Active Directory,AD-Login,AD001,Read
M910397,Active Directory,AD-Email,AD002,Read
M910397,Active Directory,AD-Intranet,AD003,Read
M910397,HR Portal,HRP-SelfService,HRP001,Read
M910397,HR Portal,HRP-TimeEntry,HRP002,Write
M910397,Compliance Training,CT-AnnualCert,CT001,Execute
M910397,Wealth Platform,WP-ClientPortfolio,WP001,Read
M910397,Wealth Platform,WP-InvestAdvice,WP002,Write
M910397,Wealth Platform,WP-OrderExec,WP003,Execute
M910397,Wealth Platform,WP-FinancialPlan,WP004,Write
M910397,Trust System,TS-TrustAdmin,TS001,Read
M910397,Trust System,TS-EstatePlan,TS002,Write
M910397,CRM Platform,CRM-HNWClient,CRM020,Read
M910397,CRM Platform,CRM-UHNWClient,CRM021,Read
M910397,KYC System,KYC-WealthDueDiligence,KYC010,Read
M910397,KYC System,KYC-SourceOfWealth,KYC011,Write
M910397,HR Portal,HRP-TeamView,HRP010,Read
M910397,HR Portal,HRP-Approval,HRP011,Approve
M910397,HR Portal,HRP-BudgetView,HRP012,Read
M910397,HR Portal,HRP-HiringApproval,HRP013,Approve
M910397,Financial Reporting,FR-ExecDashboard,FR020,Read
M910397,Compliance Platform,CMP-USRegulatory,CMP010,Read
B558190,Active Directory,AD-Email,AD002,Read
B558190,HR Portal,HRP-SelfService,HRP001,Read
B558190,HR Portal,HRP-TimeEntry,HRP002,Write
B558190,Compliance Training,CT-AnnualCert,CT001,Execute
B558190,Trading Platform,TP-FXTrading,TP001,Execute
B558190,Trading Platform,TP-RatesTrading,TP002,Execute
B558190,Trading Platform,TP-CreditTrading,TP003,Execute
B558190,Trading Platform,TP-EquityTrading,TP004,Execute
B558190,Risk Analytics,RA-MarketRisk,RA001,Read
B558190,Risk Analytics,RA-VaR,RA002,Execute
B558190,Risk Analytics,RA-StressTest,RA003,Execute
B558190,Treasury Management,TM-FundTransfer,TM003,Execute
B558190,Treasury Management,TM-CapitalAlloc,TM004,Write
B558190,Bloomberg Terminal,BT-MarketData,BT001,Read
B558190,HR Portal,HRP-TeamView,HRP010,Read
B558190,HR Portal,HRP-Approval,HRP011,Approve
B558190,HR Portal,HRP-BudgetView,HRP012,Read
B558190,HR Portal,HRP-HiringApproval,HRP013,Approve
B558190,Financial Reporting,FR-ExecDashboard,FR020,Read
B558190,Compliance Platform,CMP-LATAMRegulatory,CMP014,Read
Q326321,Active Directory,AD-Login,AD001,Read
Q326321,Active Directory,AD-Email,AD002,Read
Q326321,Active Directory,AD-Intranet,AD003,Read
Q326321,HR Portal,HRP-SelfService,HRP001,Read
Q326321,HR Portal,HRP-TimeEntry,HRP002,Write
Q326321,Compliance Training,CT-AnnualCert,CT001,Execute
Q326321,CRM Platform,CRM-ClientEdit,CRM002,Write
Q326321,CRM Platform,CRM-DealPipeline,CRM003,Write
Q326321,CRM Platform,CRM-Reports,CRM004,Read
Q326321,Credit Analysis System,CAS-CreditApprove,CAS003,Approve
Q326321,Credit Analysis System,CAS-LimitSet,CAS004,Write
Q326321,Transaction Banking Platform,TBP-CashMgmt,TBP001,Read
Q326321,Transaction Banking Platform,TBP-TradeFinance,TBP002,Read
Q326321,Transaction Banking Platform,TBP-Payments,TBP003,Execute
Q326321,Transaction Banking Platform,TBP-Custody,TBP004,Read
Q326321,KYC System,KYC-ClientDueDiligence,KYC001,Read
Q326321,KYC System,KYC-RiskRating,KYC002,Write
Q326321,HR Portal,HRP-TeamView,HRP010,Read
Q326321,HR Portal,HRP-Approval,HRP011,Approve
Q326321,Compliance Platform,CMP-LATAMRegulatory,CMP014,Read
H318769,Active Directory,AD-Login,AD001,Read
H318769,Active Directory,AD-Email,AD002,Read
H318769,Active Directory,AD-Intranet,AD003,Read
H318769,HR Portal,HRP-SelfService,HRP001,Read
H318769,Compliance Training,CT-AnnualCert,CT001,Execute
H318769,HRIS,HRIS-EmpRecords,HRIS001,Write
H318769,HRIS,HRIS-PayrollView,HRIS002,Read
H318769,HRIS,HRIS-PayrollProcess,HRIS003,Execute
H318769,HRIS,HRIS-Benefits,HRIS004,Write
H318769,Recruiting Platform,RP-JobPost,RP001,Write
H318769,Recruiting Platform,RP-CandidateReview,RP002,Read
H318769,Recruiting Platform,RP-OfferMgmt,RP003,Write
H318769,Learning Management,LMS-ContentCreate,LMS002,Write
H318769,Learning Management,LMS-ReportView,LMS003,Read
H318769,Performance System,PS-GoalSetting,PS001,Write
H318769,Compliance Platform,CMP-USRegulatory,CMP010,Read
H318769,CRM Platform,CRM-HNWClient,CRM020,Read
H318769,CRM Platform,CRM-UHNWClient,CRM021,Read
K262498,Active Directory,AD-Login,AD001,Read
K262498,Active Directory,AD-Email,AD002,Read
K262498,Active Directory,AD-Intranet,AD003,Read
K262498,HR Portal,HRP-SelfService,HRP001,Read
K262498,HR Portal,HRP-TimeEntry,HRP002,Write
K262498,Compliance Training,CT-AnnualCert,CT001,Execute
K262498,Trading Platform,TP-FXTrading,TP001,Execute
K262498,Trading Platform,TP-RatesTrading,TP002,Execute
K262498,Trading Platform,TP-CreditTrading,TP003,Execute
K262498,Trading Platform,TP-EquityTrading,TP004,Execute
K262498,Risk Analytics,RA-MarketRisk,RA001,Read
K262498,Risk Analytics,RA-VaR,RA002,Execute
K262498,Risk Analytics,RA-StressTest,RA003,Execute
K262498,Treasury Management,TM-ALM,TM001,Read
K262498,Treasury Management,TM-FundTransfer,TM003,Execute
K262498,Treasury Management,TM-CapitalAlloc,TM004,Write
K262498,Bloomberg Terminal,BT-MarketData,BT001,Read
K262498,HR Portal,HRP-TeamView,HRP010,Read
K262498,HR Portal,HRP-Approval,HRP011,Approve
K262498,HR Portal,HRP-BudgetView,HRP012,Read
K262498,HR Portal,HRP-HiringApproval,HRP013,Approve
K262498,Compliance Platform,CMP-USRegulatory,CMP010,Read
A196103,Active Directory,AD-Login,AD001,Read
A196103,Active Directory,AD-Email,AD002,Read
A196103,Active Directory,AD-Intranet,AD003,Read
A196103,HR Portal,HRP-SelfService,HRP001,Read
A196103,HR Portal,HRP-TimeEntry,HRP002,Write
A196103,CRM Platform,CRM-ClientView,CRM001,Read
A196103,CRM Platform,CRM-Reports,CRM004,Read
A196103,Credit Analysis System,CAS-CreditView,CAS001,Read
A196103,Credit Analysis System,CAS-CreditScore,CAS002,Execute
A196103,Credit Analysis System,CAS-CreditApprove,CAS003,Approve
A196103,Credit Analysis System,CAS-LimitSet,CAS004,Write
A196103,Transaction Banking Platform,TBP-CashMgmt,TBP001,Read
A196103,Transaction Banking Platform,TBP-TradeFinance,TBP002,Read
A196103,Transaction Banking Platform,TBP-Custody,TBP004,Read
A196103,KYC System,KYC-ClientDueDiligence,KYC001,Read
A196103,KYC System,KYC-RiskRating,KYC002,Write
A196103,HR Portal,HRP-TeamView,HRP010,Read
A196103,Compliance Platform,CMP-EURegulatory,CMP011,Read
A196103,Compliance Platform,CMP-GDPR,CMP012,Read
T792171,Active Directory,AD-Login,AD001,Read
T792171,Active Directory,AD-Intranet,AD003,Read
T792171,HR Portal,HRP-SelfService,HRP001,Read
T792171,HR Portal,HRP-TimeEntry,HRP002,Write
T792171,Compliance Training,CT-AnnualCert,CT001,Execute
T792171,Strategy Platform,SP-MarketAnalysis,SP001,Read
T792171,Strategy Platform,SP-CompetitorIntel,SP002,Read
T792171,M&A Platform,MA-DealRoom,MA001,Read
T792171,M&A Platform,MA-DueDiligence,MA003,Write
T792171,IR Platform,IR-Filings,IR001,Write
T792171,IR Platform,IR-InvestorComms,IR002,Write
T792171,IR Platform,IR-ESGReporting,IR003,Write
T792171,Financial Reporting,FR-StratReports,FR010,Read
T792171,HR Portal,HRP-TeamView,HRP010,Read
T792171,HR Portal,HRP-Approval,HRP011,Approve
T792171,HR Portal,HRP-BudgetView,HRP012,Read
T792171,HR Portal,HRP-HiringApproval,HRP013,Approve
T792171,Compliance Platform,CMP-USRegulatory,CMP010,Read
G843720,Active Directory,AD-Login,AD001,Read
G843720,Active Directory,AD-Email,AD002,Read
G843720,Active Directory,AD-Intranet,AD003,Read
G843720,HR Portal,HRP-SelfService,HRP001,Read
G843720,HR Portal,HRP-TimeEntry,HRP002,Write
G843720,Compliance Training,CT-AnnualCert,CT001,Execute
G843720,Trading Platform,TP-FXTrading,TP001,Execute
G843720,Trading Platform,TP-RatesTrading,TP002,Execute
G843720,Trading Platform,TP-CreditTrading,TP003,Execute
G843720,Trading Platform,TP-EquityTrading,TP004,Execute
G843720,Risk Analytics,RA-MarketRisk,RA001,Read
G843720,Risk Analytics,RA-VaR,RA002,Execute
G843720,Risk Analytics,RA-StressTest,RA003,Execute
G843720,Treasury Management,TM-FundTransfer,TM003,Execute
G843720,Treasury Management,TM-CapitalAlloc,TM004,Write
G843720,Bloomberg Terminal,BT-MarketData,BT001,Read
G843720,HR Portal,HRP-TeamView,HRP010,Read
G843720,HR Portal,HRP-Approval,HRP011,Approve
G843720,HR Portal,HRP-BudgetView,HRP012,Read
G843720,Compliance Platform,CMP-LATAMRegulatory,CMP014,Read
I192147,Active Directory,AD-Login,AD001,Read
I192147,Active Directory,AD-Email,AD002,Read
I192147,HR Portal,HRP-SelfService,HRP001,Read
I192147,HR Portal,HRP-TimeEntry,HRP002,Write
I192147,Compliance Training,CT-AnnualCert,CT001,Execute
I192147,Strategy Platform,SP-MarketAnalysis,SP001,Read
I192147,Strategy Platform,SP-CompetitorIntel,SP002,Read
I192147,M&A Platform,MA-DealRoom,MA001,Read
I192147,M&A Platform,MA-Valuation,MA002,Execute
I192147,M&A Platform,MA-DueDiligence,MA003,Write
I192147,IR Platform,IR-Filings,IR001,Write
I192147,IR Platform,IR-InvestorComms,IR002,Write
I192147,IR Platform,IR-ESGReporting,IR003,Write
I192147,Financial Reporting,FR-StratReports,FR010,Read
I192147,Compliance Platform,CMP-EURegulatory,CMP011,Read
I192147,Compliance Platform,CMP-GDPR,CMP012,Read
X971499,Active Directory,AD-Login,AD001,Read
X971499,Active Directory,AD-Email,AD002,Read
X971499,Active Directory,AD-Intranet,AD003,Read
X971499,HR Portal,HRP-SelfService,HRP001,Read
X971499,HR Portal,HRP-TimeEntry,HRP002,Write
X971499,Compliance Training,CT-AnnualCert,CT001,Execute
X971499,Core Banking System,CBS-AccountView,CBS001,Read
X971499,Core Banking System,CBS-AccountOpen,CBS002,Write
X971499,Core Banking System,CBS-LoanOriginate,CBS003,Write
X971499,Digital Banking Platform,DBP-MobileConfig,DBP001,Write
X971499,Digital Banking Platform,DBP-CardMgmt,DBP003,Write
X971499,CRM Platform,CRM-RetailClient,CRM010,Read
X971499,CRM Platform,CRM-SBBClient,CRM011,Read
X971499,Collections System,COL-Workout,COL002,Write
X971499,Compliance Platform,CMP-EURegulatory,CMP011,Read
X971499,Compliance Platform,CMP-GDPR,CMP012,Read
X971499,Wealth Platform,WP-ClientPortfolio,WP001,Read
X971499,Wealth Platform,WP-InvestAdvice,WP002,Write
M696350,Active Directory,AD-Login,AD001,Read
M696350,Active Directory,AD-Email,AD002,Read
M696350,HR Portal,HRP-SelfService,HRP001,Read
M696350,HR Portal,HRP-TimeEntry,HRP002,Write
M696350,Compliance Training,CT-AnnualCert,CT001,Execute
M696350,Trading Platform,TP-FXTrading,TP001,Execute
M696350,Trading Platform,TP-RatesTrading,TP002,Execute
M696350,Trading Platform,TP-CreditTrading,TP003,Execute
M696350,Risk Analytics,RA-VaR,RA002,Execute
M696350,Treasury Management,TM-ALM,TM001,Read
M696350,Treasury Management,TM-Liquidity,TM002,Read
M696350,Treasury Management,TM-FundTransfer,TM003,Execute
M696350,Treasury Management,TM-CapitalAlloc,TM004,Write
M696350,Bloomberg Terminal,BT-MarketData,BT001,Read
M696350,Bloomberg Terminal,BT-Analytics,BT002,Execute
M696350,Compliance Platform,CMP-GDPR,CMP012,Read
C266092,Active Directory,AD-Login,AD001,Read
C266092,Active Directory,AD-Email,AD002,Read
C266092,Active Directory,AD-Intranet,AD003,Read
C266092,HR Portal,HRP-SelfService,HRP001,Read
C266092,HR Portal,HRP-TimeEntry,HRP002,Write
C266092,Compliance Training,CT-AnnualCert,CT001,Execute
C266092,HRIS,HRIS-EmpRecords,HRIS001,Write
C266092,HRIS,HRIS-PayrollView,HRIS002,Read
C266092,HRIS,HRIS-PayrollProcess,HRIS003,Execute
C266092,Recruiting Platform,RP-JobPost,RP001,Write
C266092,Recruiting Platform,RP-CandidateReview,RP002,Read
C266092,Learning Management,LMS-ContentCreate,LMS002,Write
C266092,Learning Management,LMS-ReportView,LMS003,Read
C266092,Performance System,PS-GoalSetting,PS001,Write
C266092,Performance System,PS-ReviewAdmin,PS002,Admin
C266092,Compliance Platform,CMP-EURegulatory,CMP011,Read
C266092,Compliance Platform,CMP-GDPR,CMP012,Read
W642607,Active Directory,AD-Login,AD001,Read
W642607,Active Directory,AD-Email,AD002,Read
W642607,Active Directory,AD-Intranet,AD003,Read
W642607,HR Portal,HRP-SelfService,HRP001,Read
W642607,HR Portal,HRP-TimeEntry,HRP002,Write
W642607,Compliance Training,CT-AnnualCert,CT001,Execute
W642607,Core Banking System,CBS-AccountView,CBS001,Read
W642607,Core Banking System,CBS-LoanOriginate,CBS003,Write
W642607,Core Banking System,CBS-LoanApprove,CBS004,Approve
W642607,Digital Banking Platform,DBP-MobileConfig,DBP001,Write
W642607,Digital Banking Platform,DBP-CardMgmt,DBP003,Write
W642607,CRM Platform,CRM-SBBClient,CRM011,Read
W642607,Collections System,COL-DelinqView,COL001,Read
W642607,Collections System,COL-Workout,COL002,Write
W642607,HR Portal,HRP-TeamView,HRP010,Read
W642607,HR Portal,HRP-Approval,HRP011,Approve
W642607,Compliance Platform,CMP-APACRegulatory,CMP013,Read
V553748,Active Directory,AD-Login,AD001,Read
V553748,Active Directory,AD-Email,AD002,Read
V553748,Active Directory,AD-Intranet,AD003,Read
V553748,HR Portal,HRP-SelfService,HRP001,Read
V553748,HR Portal,HRP-TimeEntry,HRP002,Write
V553748,Compliance Training,CT-AnnualCert,CT001,Execute
V553748,Strategy Platform,SP-MarketAnalysis,SP001,Read
V553748,Strategy Platform,SP-CompetitorIntel,SP002,Read
V553748,Strategy Platform,SP-StrategyDocs,SP003,Write
V553748,M&A Platform,MA-Valuation,MA002,Execute
V553748,M&A Platform,MA-DueDiligence,MA003,Write
V553748,IR Platform,IR-Filings,IR001,Write
V553748,IR Platform,IR-InvestorComms,IR002,Write
V553748,IR Platform,IR-ESGReporting,IR003,Write
V553748,Financial Reporting,FR-StratReports,FR010,Read
V553748,Compliance Platform,CMP-APACRegulatory,CMP013,Read
O022351,Active Directory,AD-Login,AD001,Read
O022351,Active Directory,AD-Email,AD002,Read
O022351,Active Directory,AD-Intranet,AD003,Read
O022351,HR Portal,HRP-SelfService,HRP001,Read
O022351,HR Portal,HRP-TimeEntry,HRP002,Write
O022351,Compliance Training,CT-AnnualCert,CT001,Execute
O022351,Compliance Platform,CMP-PolicyMgmt,CMP001,Write
O022351,Compliance Platform,CMP-RegTracker,CMP002,Read
O022351,Compliance Platform,CMP-SARFiling,CMP003,Execute
O022351,Compliance Platform,CMP-AuditTrail,CMP004,Read
O022351,Contract Management,CM-ContractDraft,CM001,Write
O022351,Contract Management,CM-ContractReview,CM002,Read
O022351,eDiscovery,ED-Search,ED001,Execute
O022351,KYC System,KYC-Oversight,KYC020,Read
O022351,KYC System,KYC-Escalation,KYC021,Write
O022351,Compliance Platform,CMP-APACRegulatory,CMP013,Read
Y568730,Active Directory,AD-Login,AD001,Read
Y568730,Active Directory,AD-Email,AD002,Read
Y568730,HR Portal,HRP-SelfService,HRP001,Read
Y568730,HR Portal,HRP-TimeEntry,HRP002,Write
Y568730,Compliance Training,CT-AnnualCert,CT001,Execute
Y568730,Enterprise Risk Platform,ERP-RiskDashboard,ERP001,Read
Y568730,Enterprise Risk Platform,ERP-RiskAssessment,ERP002,Write
Y568730,Enterprise Risk Platform,ERP-ModelValidation,ERP004,Execute
Y568730,Credit Risk System,CRS-PortfolioView,CRS001,Read
Y568730,Credit Risk System,CRS-LossModel,CRS002,Execute
Y568730,Operational Risk System,ORS-IncidentLog,ORS001,Write
Y568730,Operational Risk System,ORS-RCSA,ORS002,Write
Y568730,Operational Risk System,ORS-KRI,ORS003,Read
Y568730,Operational Risk System,ORS-ThirdParty,ORS004,Read
Y568730,Compliance Training,CT-RiskCert,CT010,Execute
Y568730,Compliance Platform,CMP-EURegulatory,CMP011,Read
Y568730,Compliance Platform,CMP-GDPR,CMP012,Read
A367789,Active Directory,AD-Login,AD001,Read
A367789,Active Directory,AD-Email,AD002,Read
A367789,Active Directory,AD-Intranet,AD003,Read
A367789,HR Portal,HRP-SelfService,HRP001,Read
A367789,HR Portal,HRP-TimeEntry,HRP002,Write
A367789,Compliance Training,CT-AnnualCert,CT001,Execute
A367789,Compliance Platform,CMP-PolicyMgmt,CMP001,Write
A367789,Compliance Platform,CMP-SARFiling,CMP003,Execute
A367789,Compliance Platform,CMP-AuditTrail,CMP004,Read
A367789,Contract Management,CM-ContractDraft,CM001,Write
A367789,Contract Management,CM-ContractReview,CM002,Read
A367789,Contract Management,CM-ContractApprove,CM003,Approve
A367789,eDiscovery,ED-Search,ED001,Execute
A367789,eDiscovery,ED-HoldMgmt,ED002,Write
A367789,KYC System,KYC-Oversight,KYC020,Read
A367789,KYC System,KYC-Escalation,KYC021,Write
A367789,HR Portal,HRP-TeamView,HRP010,Read
A367789,HR Portal,HRP-Approval,HRP011,Approve
A367789,Compliance Platform,CMP-APACRegulatory,CMP013,Read
M343829,Active Directory,AD-Login,AD001,Read
M343829,Active Directory,AD-Email,AD002,Read
M343829,Active Directory,AD-Intranet,AD003,Read
M343829,HR Portal,HRP-SelfService,HRP001,Read
M343829,HR Portal,HRP-TimeEntry,HRP002,Write
M343829,Compliance Training,CT-AnnualCert,CT001,Execute
M343829,HRIS,HRIS-EmpRecords,HRIS001,Write
M343829,HRIS,HRIS-PayrollView,HRIS002,Read
M343829,HRIS,HRIS-PayrollProcess,HRIS003,Execute
M343829,HRIS,HRIS-Benefits,HRIS004,Write
M343829,Recruiting Platform,RP-JobPost,RP001,Write
M343829,Recruiting Platform,RP-CandidateReview,RP002,Read
M343829,Learning Management,LMS-CourseAdmin,LMS001,Admin
M343829,Learning Management,LMS-ContentCreate,LMS002,Write
M343829,Learning Management,LMS-ReportView,LMS003,Read
M343829,Performance System,PS-GoalSetting,PS001,Write
M343829,Compliance Platform,CMP-USRegulatory,CMP010,Read
A624194,Active Directory,AD-Login,AD001,Read
A624194,Active Directory,AD-Email,AD002,Read
A624194,Active Directory,AD-Intranet,AD003,Read
A624194,HR Portal,HRP-SelfService,HRP001,Read
A624194,HR Portal,HRP-TimeEntry,HRP002,Write
A624194,Compliance Training,CT-AnnualCert,CT001,Execute
A624194,CRM Platform,CRM-ClientView,CRM001,Read
A624194,CRM Platform,CRM-DealPipeline,CRM003,Write
A624194,CRM Platform,CRM-Reports,CRM004,Read
A624194,Credit Analysis System,CAS-CreditScore,CAS002,Execute
A624194,Transaction Banking Platform,TBP-CashMgmt,TBP001,Read
A624194,Transaction Banking Platform,TBP-TradeFinance,TBP002,Read
A624194,Transaction Banking Platform,TBP-Payments,TBP003,Execute
A624194,Transaction Banking Platform,TBP-Custody,TBP004,Read
A624194,KYC System,KYC-RiskRating,KYC002,Write
A624194,Compliance Platform,CMP-EURegulatory,CMP011,Read
A624194,Compliance Platform,CMP-GDPR,CMP012,Read
S661786,Active Directory,AD-Login,AD001,Read
S661786,Active Directory,AD-Email,AD002,Read
S661786,Active Directory,AD-Intranet,AD003,Read
S661786,HR Portal,HRP-SelfService,HRP001,Read
S661786,HR Portal,HRP-TimeEntry,HRP002,Write
S661786,CRM Platform,CRM-ClientView,CRM001,Read
S661786,CRM Platform,CRM-DealPipeline,CRM003,Write
S661786,CRM Platform,CRM-Reports,CRM004,Read
S661786,Credit Analysis System,CAS-CreditView,CAS001,Read
S661786,Credit Analysis System,CAS-CreditScore,CAS002,Execute
S661786,Credit Analysis System,CAS-LimitSet,CAS004,Write
S661786,Transaction Banking Platform,TBP-CashMgmt,TBP001,Read
S661786,Transaction Banking Platform,TBP-TradeFinance,TBP002,Read
S661786,Transaction Banking Platform,TBP-Payments,TBP003,Execute
S661786,Transaction Banking Platform,TBP-Custody,TBP004,Read
S661786,KYC System,KYC-RiskRating,KYC002,Write
S661786,HR Portal,HRP-Approval,HRP011,Approve
S661786,HR Portal,HRP-BudgetView,HRP012,Read
S661786,HR Portal,HRP-HiringApproval,HRP013,Approve
S661786,Financial Reporting,FR-ExecDashboard,FR020,Read
S661786,Compliance Platform,CMP-USRegulatory,CMP010,Read
N968747,Active Directory,AD-Login,AD001,Read
N968747,Active Directory,AD-Email,AD002,Read
N968747,HR Portal,HRP-SelfService,HRP001,Read
N968747,HR Portal,HRP-TimeEntry,HRP002,Write
N968747,Compliance Training,CT-AnnualCert,CT001,Execute
N968747,ServiceNow,SN-IncidentMgmt,SN001,Write
N968747,ServiceNow,SN-ChangeMgmt,SN002,Write
N968747,ServiceNow,SN-ProblemMgmt,SN003,Write
N968747,ServiceNow,SN-AssetMgmt,SN004,Read
N968747,CI/CD Platform,CICD-Build,CICD001,Execute
N968747,CI/CD Platform,CICD-RepoAccess,CICD003,Write
N968747,Cloud Platform,CP-AWSConsole,CP001,Read
N968747,Cloud Platform,CP-AzureConsole,CP002,Read
N968747,Monitoring Tools,MT-Grafana,MT002,Read
N968747,Monitoring Tools,MT-PagerDuty,MT003,Write
N968747,Compliance Platform,CMP-EURegulatory,CMP011,Read
N968747,Compliance Platform,CMP-GDPR,CMP012,Read
Y463081,Active Directory,AD-Login,AD001,Read
Y463081,Active Directory,AD-Email,AD002,Read
Y463081,Active Directory,AD-Intranet,AD003,Read
Y463081,HR Portal,HRP-SelfService,HRP001,Read
Y463081,HR Portal,HRP-TimeEntry,HRP002,Write
Y463081,Compliance Training,CT-AnnualCert,CT001,Execute
Y463081,Wealth Platform,WP-ClientPortfolio,WP001,Read
Y463081,Wealth Platform,WP-InvestAdvice,WP002,Write
Y463081,Wealth Platform,WP-OrderExec,WP003,Execute
Y463081,Wealth Platform,WP-FinancialPlan,WP004,Write
Y463081,Trust System,TS-TrustAdmin,TS001,Read
Y463081,Trust System,TS-EstatePlan,TS002,Write
Y463081,Trust System,TS-Fiduciary,TS003,Execute
Y463081,CRM Platform,CRM-HNWClient,CRM020,Read
Y463081,CRM Platform,CRM-UHNWClient,CRM021,Read
Y463081,CRM Platform,CRM-Referrals,CRM022,Write
Y463081,KYC System,KYC-WealthDueDiligence,KYC010,Read
Y463081,KYC System,KYC-SourceOfWealth,KYC011,Write
Y463081,Compliance Platform,CMP-EURegulatory,CMP011,Read
Y463081,Compliance Platform,CMP-GDPR,CMP012,Read
Y463081,KYC System,KYC-Oversight,KYC020,Read
R766470,Active Directory,AD-Login,AD001,Read
R766470,Active Directory,AD-Email,AD002,Read
R766470,Active Directory,AD-Intranet,AD003,Read
R766470,HR Portal,HRP-SelfService,HRP001,Read
R766470,HR Portal,HRP-TimeEntry,HRP002,Write
R766470,Compliance Training,CT-AnnualCert,CT001,Execute
R766470,Compliance Platform,CMP-PolicyMgmt,CMP001,Write
R766470,Compliance Platform,CMP-RegTracker,CMP002,Read
R766470,Compliance Platform,CMP-SARFiling,CMP003,Execute
R766470,Contract Management,CM-ContractDraft,CM001,Write
R766470,Contract Management,CM-ContractReview,CM002,Read
R766470,Contract Management,CM-ContractApprove,CM003,Approve
R766470,eDiscovery,ED-Search,ED001,Execute
R766470,eDiscovery,ED-HoldMgmt,ED002,Write
R766470,KYC System,KYC-Oversight,KYC020,Read
R766470,HR Portal,HRP-TeamView,HRP010,Read
R766470,HR Portal,HRP-Approval,HRP011,Approve
R766470,Compliance Platform,CMP-EURegulatory,CMP011,Read
R766470,Compliance Platform,CMP-GDPR,CMP012,Read
J211157,Active Directory,AD-Login,AD001,Read
J211157,Active Directory,AD-Email,AD002,Read
J211157,Active Directory,AD-Intranet,AD003,Read
J211157,HR Portal,HRP-SelfService,HRP001,Read
